Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,Coil A Current,Coil B Current
72,72.06,-5,-5.00,-5.00,10.72,4.9,0.5,0.5,0.5,4080,19
73,73.09,-5,-5.00,-5.00,10.67,4.8,0.5,0.5,0.5,4080,19
74,74.05,-5,-5.00,-5.00,10.61,4.8,0.5,0.5,0.5,4080,19
75,75.09,-5,-5.00,-5.00,10.55,4.7,0.5,0.5,0.5,4080,18
76,76.06,-5,-5.00,-5.00,10.49,4.6,0.5,0.5,0.5,4080,18
77,77.10,-5,-5.00,-5.00,10.43,4.5,0.5,0.5,0.5,4080,18
78,78.05,-5,-5.00,-5.00,10.36,4.5,0.5,0.5,0.5,4080,18
79,79.09,-5,-5.00,-5.00,10.28,4.4,0.5,0.5,0.5,4080,17
80,80.05,-5,-5.00,-5.00,10.21,4.3,0.5,0.5,0.5,4080,17
81,81.09,-5,-5.00,-5.00,10.12,4.2,0.5,0.5,0.5,4080,17
82,82.06,-5,-5.00,-5.00,10.04,4.2,0.5,0.5,0.5,4080,16
83,83.09,-5,-5.00,-4.00,9.95,4.1,0.5,0.5,0.5,4080,16
84,84.06,-5,-5.00,-4.00,9.86,4.0,0.5,0.5,0.5,4080,15
85,85.09,-5,-5.00,-4.00,9.76,3.9,0.5,0.5,0.5,4080,15
86,86.05,-5,-5.00,-4.00,9.66,3.8,0.5,0.5,0.5,4080,15
87,87.09,-5,-5.00,-4.00,9.55,3.7,0.5,0.5,0.5,4080,14
88,88.05,-5,-5.00,-4.00,9.44,3.6,0.5,0.5,0.5,4080,14
89,89.10,-5,-5.00,-4.00,9.32,3.5,0.5,0.5,0.5,4080,14
90,90.06,-5,-5.00,-4.00,9.21,3.4,0.5,0.5,0.5,4080,13
91,91.10,-5,-5.00,-4.00,9.08,3.3,0.5,0.5,0.5,4080,13
92,92.05,-5,-5.00,-3.00,8.96,3.2,0.5,0.5,0.5,4080,13
93,93.10,-5,-5.00,-3.00,8.83,3.1,0.5,0.5,0.5,4080,12
94,94.06,-6,-6.00,-3.00,9.70,8.8,0.5,0.5,0.5,4077,15
95,95.09,-6,-6.00,-3.00,9.56,4.7,0.5,0.5,0.5,4077,18
96,96.06,-6,-6.00,-3.00,9.42,3.6,0.5,0.5,0.5,4077,15
97,97.09,-6,-6.00,-3.00,9.27,3.3,0.5,0.5,0.5,4077,13
98,98.06,-6,-6.00,-3.00,9.13,3.0,0.5,0.5,0.5,4077,12
99,99.09,-6,-6.00,-2.00,8.97,2.9,0.5,0.5,0.5,4077,11
100,100.06,-6,-6.00,-2.00,8.82,2.8,0.5,0.5,0.5,4077,11
101,101.10,-6,-6.00,-2.00,8.65,2.7,0.5,0.5,0.5,4077,10
102,102.06,-6,-6.00,-2.00,8.49,2.5,0.5,0.5,0.5,4077,10
103,103.10,-6,-6.00,-2.00,8.31,2.4,0.5,0.5,0.5,4077,9
104,104.05,-6,-6.00,-2.00,8.15,2.3,0.5,0.5,0.5,4077,9
105,105.09,-6,-6.00,-1.00,7.96,2.2,0.5,0.5,0.5,4077,8
106,106.05,-6,-6.00,-1.00,7.79,2.0,0.5,0.5,0.5,4077,8
107,107.09,-6,-6.00,-1.00,7.59,1.9,0.5,0.5,0.5,4077,7
108,108.05,-6,-6.00,-1.00,7.41,1.8,0.5,0.5,0.5,4077,7
109,109.09,-6,-6.00,-1.00,7.21,1.6,0.5,0.5,0.5,4077,6
110,110.05,-6,-6.00,-1.00,7.02,1.5,0.5,0.5,0.5,4077,6
111,111.09,-6,-6.00,0.00,6.81,1.5,0.5,0.5,0.5,4077,6
112,112.06,-7,-7.00,0.00,7.62,7.8,0.5,0.5,0.5,4074,8
113,113.10,-7,-7.00,0.00,7.41,3.2,0.5,0.5,0.5,4074,12
114,114.05,-7,-7.00,0.00,7.22,2.0,0.5,0.5,0.5,4074,8
115,115.09,-7,-7.00,0.00,7.01,1.6,0.5,0.5,0.5,4074,6
116,116.05,-7,-7.00,0.00,6.82,1.4,0.5,0.5,0.5,4074,5
117,117.10,-7,-7.00,0.00,6.61,1.3,0.5,0.5,0.5,4074,5
118,118.05,-7,-7.00,0.00,6.42,1.2,0.5,0.5,0.5,4074,5
119,119.09,-7,-7.00,0.00,6.21,1.1,0.5,0.5,0.5,4074,4
120,120.06,-7,-7.00,0.00,6.02,1.0,0.5,0.5,0.5,4074,4
121,121.09,-6,-6.00,1.00,4.81,-5.5,0.5,0.5,0.5,4077,1
122,122.05,-6,-6.00,1.00,4.62,-1.4,0.5,0.5,0.5,4077,-3
123,123.09,-6,-6.00,1.00,4.41,-0.3,0.5,0.5,0.5,4077,-1
124,124.05,-6,-6.00,1.00,4.22,-0.1,0.5,0.5,0.5,4077,0
125,125.09,-6,-6.00,1.00,4.01,-0.1,0.5,0.5,0.5,4077,0
126,126.05,-6,-6.00,2.00,3.82,-0.1,0.5,0.5,0.5,4077,-1
127,127.09,-6,-6.00,2.00,3.61,-0.2,0.5,0.5,0.5,4077,-1
128,128.05,-6,-6.00,2.00,3.42,-0.3,0.5,0.5,0.5,4077,-1
129,129.09,-6,-6.00,2.00,3.21,-0.4,0.5,0.5,0.5,4077,-2
130,130.05,-6,-6.00,2.00,3.02,-0.5,0.5,0.5,0.5,4077,-2
131,131.09,-6,-6.00,3.00,2.81,-0.6,0.5,0.5,0.5,4077,-3
132,132.06,-6,-6.00,3.00,2.62,-0.7,0.5,0.5,0.5,4077,-3
133,133.10,-6,-6.00,3.00,2.41,-0.8,0.5,0.5,0.5,4077,-3
134,134.05,-6,-6.00,3.00,2.22,-0.9,0.5,0.5,0.5,4077,-4
135,135.09,-6,-6.00,3.00,2.01,-1.1,0.5,0.5,0.5,4077,-4
136,136.05,-7,-7.00,4.00,2.82,4.7,0.5,0.5,0.5,4074,-1
137,137.10,-7,-7.00,4.00,2.61,0.6,0.5,0.5,0.5,4074,2
138,138.06,-7,-7.00,4.00,2.42,-0.5,0.5,0.5,0.5,4074,-1
139,139.10,-7,-7.00,4.00,2.21,-0.9,0.5,0.5,0.5,4074,-3
140,140.05,-7,-7.00,4.00,2.02,-1.0,0.5,0.5,0.5,4074,-4
141,141.10,-7,-7.00,5.00,1.81,-1.1,0.5,0.5,0.5,4074,-4
142,142.05,-7,-7.00,5.00,1.62,-1.2,0.5,0.5,0.5,4074,-5
143,143.09,-7,-7.00,5.00,1.41,-1.4,0.5,0.5,0.5,4074,-5
144,144.05,-7,-7.00,5.00,1.22,-1.5,0.5,0.5,0.5,4074,-6
145,145.10,-7,-7.00,5.00,1.01,-1.6,0.5,0.5,0.5,4074,-6
146,146.05,-8,-8.00,6.00,1.82,4.8,0.5,0.5,0.5,4071,-4
147,147.09,-8,-8.00,6.00,1.61,0.3,0.5,0.5,0.5,4071,1
148,148.05,-8,-8.00,6.00,1.42,-0.9,0.5,0.5,0.5,4071,-3
149,149.09,-8,-8.00,6.00,1.21,-1.3,0.5,0.5,0.5,4071,-5
150,150.05,-8,-8.00,6.00,1.02,-1.5,0.5,0.5,0.5,4071,-6
151,151.09,-8,-8.00,7.00,0.81,-1.6,0.5,0.5,0.5,4071,-6
152,152.05,-9,-9.00,7.00,1.62,4.1,0.5,0.5,0.5,4068,-4
153,153.09,-9,-9.00,7.00,1.41,0.0,0.5,0.5,0.5,4068,0
154,154.05,-9,-9.00,7.00,1.22,-1.1,0.5,0.5,0.5,4068,-4
155,155.09,-9,-9.00,7.00,1.01,-1.5,0.5,0.5,0.5,4068,-6
156,156.05,-9,-9.00,8.00,0.82,-1.6,0.5,0.5,0.5,4068,-6
157,157.09,-9,-9.00,8.00,0.61,-1.8,0.5,0.5,0.5,4068,-7
158,158.05,-10,-10.00,8.00,1.42,7.8,0.5,0.5,0.5,4065,-6
159,159.10,-10,-10.00,8.00,1.21,0.9,0.5,0.5,0.5,4065,-2
160,160.05,-10,-10.00,8.00,1.02,-0.9,0.5,0.5,0.5,4065,-3
161,161.09,-10,-10.00,9.00,0.81,-1.5,0.5,0.5,0.5,4065,-6
162,162.06,-10,-10.00,9.00,0.62,-1.7,0.5,0.5,0.5,4065,-7
163,163.09,-10,-10.00,9.00,0.41,-1.8,0.5,0.5,0.5,4065,-7
164,164.06,-11,-11.00,9.00,1.22,10.3,0.5,0.5,0.5,4062,-7
165,165.09,-11,-11.00,9.00,1.01,1.4,0.5,0.5,0.5,4062,-3
166,166.06,-11,-11.00,10.00,0.82,-0.8,0.5,0.5,0.5,4062,-2
167,167.09,-11,-11.00,10.00,0.61,-1.5,0.5,0.5,0.5,4062,-6
168,168.05,-11,-11.00,10.00,0.42,-1.8,0.5,0.5,0.5,4062,-7
169,169.09,-11,-11.00,10.00,0.21,-1.9,0.5,0.5,0.5,4062,-8
170,170.05,-12,-12.00,10.00,1.02,9.7,0.5,0.5,0.5,4059,-7
171,171.09,-12,-12.00,11.00,0.81,1.2,0.5,0.5,0.5,4059,-3
172,172.05,-12,-12.00,11.00,0.62,-0.9,0.5,0.5,0.5,4059,-3
173,173.09,-12,-12.00,11.00,0.41,-1.7,0.5,0.5,0.5,4059,-6
174,174.05,-12,-12.00,11.00,0.22,-1.9,0.5,0.5,0.5,4059,-7
175,175.09,-12,-12.00,11.00,0.01,-2.0,0.5,0.5,0.5,4059,-8
176,176.05,-13,-13.00,12.00,0.82,7.5,0.5,0.5,0.5,4056,-7
177,177.09,-13,-13.00,12.00,0.61,0.6,0.5,0.5,0.5,4056,-3
178,178.05,-13,-13.00,12.00,0.42,-1.2,0.5,0.5,0.5,4056,-4
179,179.10,-13,-13.00,12.00,0.21,-1.8,0.5,0.5,0.5,4056,-7
180,180.05,-13,-13.00,12.00,0.02,-2.0,0.5,0.5,0.5,4056,-8
181,181.09,-13,-13.00,13.00,-0.19,-2.2,0.5,0.5,0.5,4056,-8
182,182.06,-12,-12.00,13.00,-1.38,-8.5,0.5,0.5,0.5,4059,-11
183,183.09,-12,-12.00,13.00,-1.59,-4.3,0.5,0.5,0.5,4059,-15
184,184.06,-12,-12.00,13.00,-1.78,-3.4,0.5,0.5,0.5,4059,-13
185,185.09,-13,-13.00,13.00,-0.99,6.0,0.5,0.5,0.5,4056,-11
186,186.05,-13,-13.00,14.00,-1.18,-0.2,0.5,0.5,0.5,4056,-7
187,187.09,-14,-14.00,14.00,-0.39,7.5,0.5,0.5,0.5,4052,-5
188,188.05,-14,-14.00,14.00,-0.58,0.4,0.5,0.5,0.5,4052,-1
189,189.09,-15,-15.00,14.00,0.21,11.2,0.5,0.5,0.5,4049,-4
190,190.05,-15,-15.00,14.00,0.02,1.7,0.5,0.5,0.5,4049,0
191,191.09,-15,-15.00,15.00,-0.19,-1.2,0.5,0.5,0.5,4049,-1
192,192.05,-15,-15.00,15.00,-0.38,-2.0,0.5,0.5,0.5,4049,-5
193,193.09,-15,-15.00,15.00,-0.59,-2.3,0.5,0.5,0.5,4049,-9
194,194.05,-15,-15.00,15.00,-0.78,-2.4,0.5,0.5,0.5,4049,-10
195,195.09,-16,-16.00,15.00,0.01,1.4,0.5,0.5,0.5,4046,-5
196,196.06,-16,-16.00,16.00,-0.18,-1.2,0.5,0.5,0.5,4046,-4
197,197.09,-16,-16.00,16.00,-0.39,-2.0,0.5,0.5,0.5,4046,-8
198,198.05,-16,-16.00,16.00,-0.58,-2.3,0.5,0.5,0.5,4046,-9
199,199.09,-17,-17.00,16.00,0.21,5.2,0.5,0.5,0.5,4043,-7
200,200.05,-17,-17.00,16.00,0.02,-0.0,0.5,0.5,0.5,4043,-4
201,201.09,-17,-17.00,17.00,-0.19,-1.6,0.5,0.5,0.5,4043,-6
202,202.05,-17,-17.00,17.00,-0.38,-2.1,0.5,0.5,0.5,4043,-8
203,203.09,-18,-18.00,17.00,0.41,4.3,0.5,0.5,0.5,4040,-6
204,204.06,-18,-18.00,17.00,0.22,-0.2,0.5,0.5,0.5,4040,-2
205,205.09,-18,-18.00,17.00,0.01,-1.6,0.5,0.5,0.5,4040,-6
206,206.05,-18,-18.00,18.00,-0.18,-2.0,0.5,0.5,0.5,4040,-8
207,207.09,-19,-19.00,18.00,0.61,3.1,0.5,0.5,0.5,4037,-5
208,208.05,-19,-19.00,18.00,0.42,-0.5,0.5,0.5,0.5,4037,-2
209,209.09,-19,-19.00,18.00,0.21,-1.6,0.5,0.5,0.5,4037,-6
210,210.05,-19,-19.00,18.00,0.02,-2.0,0.5,0.5,0.5,4037,-8
211,211.09,-20,-20.00,19.00,0.81,3.8,0.5,0.5,0.5,4034,-5
212,212.05,-20,-20.00,19.00,0.62,-0.2,0.5,0.5,0.5,4034,-1
213,213.09,-20,-20.00,19.00,0.41,-1.5,0.5,0.5,0.5,4034,-5
214,214.05,-20,-20.00,19.00,0.22,-1.8,0.5,0.5,0.5,4034,-7
215,215.09,-21,-21.00,19.00,1.01,5.1,0.5,0.5,0.5,4031,-5
216,216.05,-21,-21.00,20.00,0.82,0.2,0.5,0.5,0.5,4031,-2
217,217.10,-21,-21.00,20.00,0.61,-1.3,0.5,0.5,0.5,4031,-4
218,218.05,-21,-21.00,20.00,0.42,-1.7,0.5,0.5,0.5,4031,-7
219,219.09,-22,-22.00,20.00,1.21,10.4,0.5,0.5,0.5,4028,-7
220,220.06,-22,-22.00,20.00,1.02,1.8,0.5,0.5,0.5,4028,-3
221,221.09,-22,-22.00,21.00,0.81,-0.8,0.5,0.5,0.5,4028,-2
222,222.05,-22,-22.00,21.00,0.62,-1.5,0.5,0.5,0.5,4028,-6
223,223.09,-22,-22.00,21.00,0.41,-1.8,0.5,0.5,0.5,4028,-7
224,224.06,-23,-23.00,21.00,1.22,3.3,0.5,0.5,0.5,4025,-4
225,225.10,-23,-23.00,21.00,1.01,-0.4,0.5,0.5,0.5,4025,-1
226,226.05,-23,-23.00,22.00,0.82,-1.3,0.5,0.5,0.5,4025,-5
227,227.09,-23,-23.00,22.00,0.61,-1.7,0.5,0.5,0.5,4025,-7
228,228.05,-24,-24.00,22.00,1.42,7.8,0.5,0.5,0.5,4022,-6
229,229.09,-24,-24.00,22.00,1.21,0.9,0.5,0.5,0.5,4022,-2
230,230.05,-24,-24.00,22.00,1.02,-0.9,0.5,0.5,0.5,4022,-3
